genres,keywords,original_language,overview,production_companies,runtime,title,cast,director
"Science Fiction, Adventure, Fantasy, Action",culture clash future space war space colony society,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Lightstorm Entertainment",162,Avatar,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Michelle Rodriguez",James Cameron
"Adventure, Fantasy, Action",ocean drug abuse exotic island east india trading company love of one's life,en,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",169,Pirates of the Caribbean: At World's End,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Chow Yun-fat",Gore Verbinski
"Adventure, Action, Crime",spy based on novel secret agent sequel mi6,en,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","Columbia Pictures, Danjaq, B24",148,Spectre,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes, Monica Bellucci",Sam Mendes
"Thriller, Action, Crime, Drama",dc comics crime fighter terrorist secret identity burglar,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","Legendary Pictures, Warner Bros., DC Entertainment, Syncopy",165,The Dark Knight Rises,"Christian Bale, Michael Caine, Gary Oldman, Anne Hathaway, Tom Hardy",Christopher Nolan
"Science Fiction, Adventure, Action",based on novel mars medallion space travel princess,en,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",Walt Disney Pictures,132,John Carter,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden, Church",Andrew Stanton
"Adventure, Fantasy, Action",dual identity amnesia sandstorm love of one's life forgiveness,en,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",139,Spider-Man 3,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden, Church Topher, Grace",Sam Raimi
"Animation, Family",hostage magic horse fairy tale musical,en,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","Walt Disney Pictures, Walt Disney Animation Studios",100,Tangled,"Zachary Levi, Mandy Moore, Donna Murphy, Ron Perlman, M.C. Gainey",Byron Howard
"Science Fiction, Adventure, Action",marvel comic sequel superhero based on comic book vision,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","Marvel Studios, Prime Focus, Revolution Sun Studios",141,Avengers: Age of Ultron,"Robert Downey, Jr. Chris, Hemsworth Mark, Ruffalo Chris, Evans Scarlett, Johansson",Joss Whedon
"Adventure, Fantasy, Family",witch magic broom school of witchcraft wizardry,en,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","Warner Bros., Heyday Films",153,Harry Potter and the Half-Blood Prince,"Daniel Radcliffe, Rupert Grint, Emma Watson, Tom Felton, Michael Gambon",David Yates
"Adventure, Fantasy, Action",dc comics vigilante superhero based on comic book revenge,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","DC Comics, Atlas Entertainment, Warner Bros., DC Entertainment, Cruel & Unusual Films, RatPac-Dune Entertainment",151,Batman v Superman: Dawn of Justice,"Ben Affleck, Henry Cavill, Gal Gadot, Amy Adams, Jesse Eisenberg",Zack Snyder
"Science Fiction, Adventure, Fantasy, Action",saving the world dc comics invulnerability sequel superhero,en,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","DC Comics, Legendary Pictures, Warner Bros., Bad Hat Harry Productions",154,Superman Returns,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden, Parker Posey",Bryan Singer
"Adventure, Thriller, Action, Crime",killing undercover secret agent british secret service,en,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",Eon Productions,106,Quantum of Solace,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini",Marc Forster
"Adventure, Fantasy, Action",witch fortune teller bondage exotic island monster,en,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",151,Pirates of the Caribbean: Dead Man's Chest,"Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård, Bill Nighy",Gore Verbinski
"Adventure, Western, Action",texas horse survivor texas ranger partner,en,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Silver Bullet Productions (II), Blind Wink Productions, Classic Media",149,The Lone Ranger,"Johnny Depp, Armie Hammer, William Fichtner, Helena Bonham, Carter James, Badge Dale",Gore Verbinski
"Science Fiction, Adventure, Fantasy, Action",saving the world dc comics superhero based on comic book superhuman,en,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films",143,Man of Steel,"Henry Cavill, Amy Adams, Michael Shannon, Kevin Costner, Diane Lane",Zack Snyder
"Science Fiction, Adventure, Action",new york shield marvel comic superhero based on comic book,en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Paramount Pictures, Marvel Studios",143,The Avengers,"Robert Downey, Jr. Chris, Evans Mark, Ruffalo Chris, Hemsworth Scarlett, Johansson",Joss Whedon
